,nmefet,rem_pos,year,month
0,1 SARGENTO,13252.670772357724,2022,06
1,1 TENENTE,13565.888798140772,2022,06
2,2 SARGENTO,9495.034727131482,2022,06
3,2 TENENTE,12701.666034482758,2022,06
4,3 SARGENTO,7579.565563931162,2022,06
5,ADVOGADO AUTARQUICO,21927.125555555554,2022,06
6,AGENTE COVERNAMENTAL - CONTRATO,1643.362972972973,2022,06
7,AGENTE DE SEGURANCA PENITENCIARIO,5193.006214140829,2022,06
8,AGENTE DE SEGURANCA SOCIOEDUCATIVO,5381.198304347826,2022,06
9,AGENTE DE TRANSPORTES E OBRAS PUBLICAS,8263.086054421768,2022,06
10,"AGENTE FISCAL DE GESTAO, METROLOGIA E QUALIDADE",5506.918815789474,2022,06
11,AGENTE GOVERNAMENTAL,5190.837559808612,2022,06
12,ALUNO,8090.782105263157,2022,06
13,ANAL. DE GESTAO E POL.PUB. EM DESENVOLVIMENTO,5231.640506329114,2022,06
14,ANAL.FISCAL E DE REGULACAO SERV.ABAST.AGUA ESG.SAN,8194.128387096775,2022,06
15,ANALISTA AMBIENTAL,10066.732672413793,2022,06
16,ANALISTA DA POLICIA CIVIL,5365.931438848921,2022,06
17,ANALISTA DE ATENCAO A SAUDE,4604.814047619047,2022,06
18,ANALISTA DE DESENVOLVIMENTO ECONOMICO E SOCIAL,6235.9603125,2022,06
19,ANALISTA DE DESENVOLVIMENTO RURAL,7455.614,2022,06
20,ANALISTA DE EDUCACAO BASICA,2149.871142857143,2022,06
21,ANALISTA DE GESTAO,6830.73,2022,06
22,ANALISTA DE GESTAO ARTISTICA,4863.968333333333,2022,06
23,ANALISTA DE GESTAO DA POL,4018.713333333333,2022,06
24,ANALISTA DE GESTAO DE SEGURIDADE SOCIAL,4995.383947368421,2022,06
25,ANALISTA DE GESTAO E ASSISTENCIA A SAUDE,6593.343039742213,2022,06
26,ANALISTA DE GESTAO E REGISTRO EMPRESARIAL,6720.959090909091,2022,06
27,ANALISTA DE GESTAO LOTERICA,6902.59,2022,06
28,"ANALISTA DE GESTAO, METROLOGIA E QUALIDADE",5867.953333333333,2022,06
29,"ANALISTA DE GESTAO, PROTECAO E RESTAURO",6213.122592592593,2022,06
30,ANALISTA DE HEMATOLOGIA E HEMOTERAPIA,6868.193846153847,2022,06
31,ANALISTA DE SAUDE E TECNOLOGIA,8432.756666666668,2022,06
32,ANALISTA DE SEGURIDADE SOCIAL,6228.377517401392,2022,06
33,ANALISTA DE TV,4406.105333333334,2022,06
34,ANALISTA EDUCACIONAL,6157.608483741324,2022,06
35,ANALISTA EM EDUCACAO E PESQUISA EM SAUDE,7572.410961538461,2022,06
36,ANALISTA EXECUTIVO DE DEFESA SOCIAL,6039.772670299728,2022,06
37,ANALISTA FAZENDARIO DE ADMINISTRACAO E FINANCAS,14858.622352941176,2022,06
38,ANALISTA UNIVERSITARIO,6302.329294117647,2022,06
39,ANALISTA UNIVERSITARIO DA SAUDE,5524.657633587786,2022,06
40,ANALISTA UNIVERSITARIO DA SAUDE - CONT.ADM,3247.748666666667,2022,06
41,ASPIRANTE A OFICIAL,8367.362576687117,2022,06
42,ASSISTENTE ADM DA POLICIA,2684.691390268123,2022,06
43,ASSISTENTE ADMINISTRATIVO DE TELECOMUNICACOES,6075.331666666668,2022,06
44,ASSISTENTE DE ADMINISTRACAO DE ESTADIOS,4796.803333333333,2022,06
45,ASSISTENTE DE EDUCACAO,4547.302608695652,2022,06
46,ASSISTENTE DE GESTAO DE DEFESA AGROPECUARIA,6708.6499476439785,2022,06
47,ASSISTENTE DE GESTAO E POLITICAS PUBLICAS EM DESEN,4840.541333333334,2022,06
48,ASSISTENTE EXECUTIVO DE DEFESA SOCIAL,3336.4717741935483,2022,06
49,ASSISTENTE TECNICO DE EDUCACAO BASICA,1994.9052239251594,2022,06
50,ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA,4925.0151428571435,2022,06
51,ASSISTENTE TECNICO DE SEGURIDADE SOCIAL,3420.5635833333336,2022,06
52,AUDITOR FISCAL DA RECEITA ESTADUAL,27045.9003313253,2022,06
53,AUDITOR INTERNO,14249.12060150376,2022,06
54,AUXILIAR ADM DA POLICIA M,1618.452419700214,2022,06
55,AUXILIAR ADMINISTRATIVO DE TELECOMUNICACOES,3455.1885714285713,2022,06
56,AUXILIAR ADMINISTRATIVO UNIVERSITARIO,4314.859650655022,2022,06
57,AUXILIAR AMBIENTAL,4365.169570552147,2022,06
58,AUXILIAR DA INDUSTRIA GRAFICA,5111.877272727273,2022,06
59,AUXILIAR DA POLICIA CIVIL,4070.698355263158,2022,06
60,AUXILIAR DE ADMINISTRACAO DE ESTADIOS,3792.278333333333,2022,06
61,AUXILIAR DE ADMINISTRACAO GERAL,4466.9328,2022,06
62,AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE,3620.4915867768595,2022,06
63,AUXILIAR DE APOIO DA SAUDE,4742.592486486486,2022,06
64,AUXILIAR DE ATIVIDADES OPERACIONAIS,3815.522,2022,06
65,AUXILIAR DE CULTURA,3982.9525000000003,2022,06
66,AUXILIAR DE DESENVOLVIMENTO ECONOMICO E SOCIAL,3515.955,2022,06
67,AUXILIAR DE DESENVOLVIMENTO RURAL,3808.6630769230765,2022,06
68,AUXILIAR DE GESTAO ARTISTICA,2985.885,2022,06
69,AUXILIAR DE GESTAO E REGISTRO EMPRESARIAL,6118.4447058823525,2022,06
70,AUXILIAR DE GESTAO LOTERICA,4008.66,2022,06
71,"AUXILIAR DE GESTAO, METROLOGIA E QUALIDADE",4528.474615384615,2022,06
72,"AUXILIAR DE GESTAO, PROTECAO E RESTAURO",2917.73,2022,06
73,AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA,5150.485789473684,2022,06
74,AUXILIAR DE SAUDE E TECNOLOGIA,5327.180444444444,2022,06
75,AUXILIAR DE SEGURIDADE SOCIAL,5022.6957532751085,2022,06
76,AUXILIAR DE SERVICOS DE EDUCACAO BASICA,1231.3855153724398,2022,06
77,AUXILIAR DE SERVICOS GOVERNAMENTAIS,4949.11987804878,2022,06
78,AUXILIAR DE SERVICOS OPERACIONAIS,3674.8373205741627,2022,06
79,AUXILIAR DE TRANSPORTES E OBRAS PUBLICAS,4979.187913043478,2022,06
80,AUXILIAR EM ATIVIDADES DE CIENCIA E TECNOLOGIA,4604.482857142857,2022,06
81,AUXILIAR EXECUTIVO DE DEFESA SOCIAL,3303.447714285714,2022,06
82,AUXILIAR GERAL DE SEGURIDADE SOCIAL,4745.57,2022,06
83,AUXILIAR OPERACIONAL,5189.967927927928,2022,06
84,BAILARINO,6655.888333333333,2022,06
85,CABO,5911.887699563655,2022,06
86,CADETE,6272.879768041237,2022,06
87,CAPITAO,16549.952274633124,2022,06
88,CONTRATO ADM MEDICO DA AREA SOCIAL E PSIQUIATRA,9832.138333333334,2022,06
89,CONTRATO ADM TECNICO DE TV,685.82,2022,06
90,CONTRATO ADM. ANALISTA DE SAUDE E TECNOLOGIA,5558.899583333333,2022,06
91,CONTRATO ADM. TECNICO DE SAUDE E TECNOLOGIA,3942.7335,2022,06
92,"CONTRATO ADM.ANALISTA GESTAO, PROTECAO E RESTAURO",3779.33,2022,06
93,CONTRATO ADM.TECNICO UNIVERSITARIO DA SAUDE,2546.623409090909,2022,06
94,CONTRATO ADMINISTRATIVO MEDICO PERITO,4292.98294117647,2022,06
95,CONTRATO ADMINISTRATIVO TECNICO UNIVERSITARIO,2727.26208,2022,06
96,CONTRATO AGENTE DE SEGURANCA PENITENCIARIO,4930.824840546697,2022,06
97,CONTRATO AGENTE DE SEGURANCA SOCIOEDUCATIVO,5052.839999999999,2022,06
98,CONTRATO ANAL.GESTAO E POL.PUB.EM DESENVOLVIMENTO,3968.8475,2022,06
99,CONTRATO ANALISTA DE GESTAO E ASSISTENCIA A SAUDE,5459.050776397516,2022,06
100,CONTRATO ANALISTA EXECUTIVO DE DEFESA SOCIAL,5666.260588235294,2022,06
101,CONTRATO ANALISTA HEMOMINAS LEI 18185 2009,4775.754074074074,2022,06
102,CONTRATO ANALISTA UNIVERSITARIO LEI 18185 2009,3753.3001581027665,2022,06
103,CONTRATO ASSISTENTE EXECUTIVO DE DS LEI 18185/09.,2925.6200000000003,2022,06
104,CONTRATO ASSISTENTE TECNICO HEMOMINAS LEI 18185 09,3668.052806122449,2022,06
105,CONTRATO ESPECIALISTA POLITICAS E GESTAO DA SAUDE,4849.893943661972,2022,06
106,CONTRATO MEDICO - LEI 18185/2009.,6912.375477453581,2022,06
107,CONTRATO MEDICO HEMOMINAS LEI 18185 2009,7935.7035000000005,2022,06
108,CONTRATO MEDICO RESIDENTE LEI 6932/81.,3669.348859784284,2022,06
109,CONTRATO PROFISSIONAL DE ENFERMAGEM LEI 18185/2009,4236.628310810811,2022,06
110,CONTRATO TECNICO OPERACIONAL DA SAUDE LEI 18185/09,3503.578691206544,2022,06
111,CORONEL,25840.572068965517,2022,06
112,DELEGADO DE POLICIA,14588.284328081556,2022,06
113,DIRETOR IV,3625.0,2022,06
114,ESCRIVAO DE POLICIA I,4887.472545787547,2022,06
115,ESCRIVAO DE POLICIA II,8143.469305239179,2022,06
116,ESPEC.EM POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL,11487.472147651006,2022,06
117,ESPECIALISTA EM EDUCACAO,3114.4551231527093,2022,06
118,ESPECIALISTA EM EDUCACAO BASICA,2407.9889764339705,2022,06
119,ESPECIALISTA EM GESTAO DE DEFESA AGROPECUARIA,12415.163529411764,2022,06
120,ESPECIALISTA EM GESTAO DEFESA AGROPECUARIA,4693.39,2022,06
121,ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE,6679.0470865533225,2022,06
122,FGR - COORDENADOR ESTADUAL,6355.235000000001,2022,06
123,FGR - COORDENADOR MACRORREGIONAL,7163.4766666666665,2022,06
124,FGR - ESPECIALISTA,3148.87,2022,06
125,FGR - MEDICO PLANTONISTA,5728.44552631579,2022,06
126,FISCAL AGROPECUARIO,9533.555110663983,2022,06
127,FISCAL ASSISTENTE AGROPECUARIO,7455.203270440252,2022,06
128,FISCAL ASSISTENTE DE TRANSPORTES E OBRAS RODOVIARI,4783.054556962025,2022,06
129,FISCAL DE TRANSPORTES E OBRAS RODOVIARIAS,7646.890082644628,2022,06
130,FUNCAO GRATIFICADA DE AUDITORIA DO SUS,3498.63,2022,06
131,GESTOR AMBIENTAL,8422.668528225806,2022,06
132,GESTOR DE CULTURA,5661.570465116279,2022,06
133,GESTOR DE REGULACAO SERV.ABAST.AGUA ESG.SANITARIO,4997.071111111111,2022,06
134,GESTOR DE TELECOMUNICACOES,6049.306666666666,2022,06
135,GESTOR DE TRANSPORTES E OBRAS PUBLICAS,10172.963279569893,2022,06
136,GESTOR EM CIENCIA E TECNOLOGIA,5605.8788888888885,2022,06
137,GESTOR FAZENDARIO,17956.95357753358,2022,06
